001	115.8093 	44.9149 	953	453010766
002	115.8054 	44.9094 	966	453010654
003	115.8029 	44.9039 	967	453009909
004	115.8017 	44.8987 	972	453010309
005	115.8002 	44.8932 	982	453009686
006	115.7988 	44.8874 	982	453009491
007	115.7973 	44.8823 	973	453010624
008	115.7958 	44.8769 	970	453010873
009	115.7943 	44.8714 	989	453010770
010	115.7930 	44.8658 	974	453010819
011	115.7915 	44.8606 	986	453010617
012	115.7911 	44.8550 	1021	453010411
013	115.7910 	44.8499 	1007	453010557
014	115.7909 	44.8444 	1001	453010755
015	115.7901 	44.8390 	998	453010742
016	115.7906 	44.8337 	993	453010515
017	115.7900 	44.8281 	991	453010622
018	115.7897 	44.8227 	981	453009666
019	115.7896 	44.8174 	978	453010558
020	115.7893 	44.8124 	961	453010560
021	115.7889 	44.8065 	950	453010415
022	115.7886 	44.8011 	965	453010621
023	115.7884 	44.7957 	951	453010256
024	115.7881 	44.7901 	957	453010534
025	115.7879 	44.7848 	968	453010383
026	115.7881 	44.7798 	966	453009552
027	115.7873 	44.7740 	990	453009710
028	115.7870 	44.7687 	998	453009488
029	115.7867 	44.7632 	1010	453009452
030	115.7864 	44.7581 	1018	453010328
031	115.7861 	44.7525 	1010	453009778
032	115.7858 	44.7471 	999	453010436
033	115.7844 	44.7416 	1005	453010658
034	115.7823 	44.7362 	997	453009888
035	115.7802 	44.7306 	994	453009801
036	115.7779 	44.7249 	984	453009678
037	115.7758 	44.7194 	963	453009844
038	115.7740 	44.7143 	957	453009425
039	115.7752 	44.7091 	951	453009720
040	115.7774 	44.7038 	946	453009321
041	115.7796 	44.6983 	949	453010184
042	115.7818 	44.6928 	959	453009775
043	115.7838 	44.6880 	960	453010474
044	115.7860 	44.6826 	960	453009779
045	115.7885 	44.6769 	953	453010713
046	115.7905 	44.6720 	950	453008390
047	115.7943 	44.6665 	951	453009740
048	115.7985 	44.6611 	944	453010607
049	115.8029 	44.6559 	941	453010402
050	115.8072 	44.6505 	942	453010357
051	115.8109 	44.6459 	943	453009230
052	115.8153 	44.6402 	948	453008790
053	115.8195 	44.6348 	957	453009849
054	115.8232 	44.6301 	964	453010355
055	115.8277 	44.6246 	969	453010823
056	115.8320 	44.6191 	974	453010487
057	115.8361 	44.6138 	986	453010217
058	115.8406 	44.6086 	1006	453010933
059	115.8478 	44.6036 	1014	453009412
060	115.8561 	44.5982 	1017	453010619
061	115.8642 	44.5931 	1021	453010760
062	115.8719 	44.5881 	1023	453009853
063	115.8803 	44.5829 	1037	453009781
064	115.8884 	44.5777 	1038	453009876
065	115.8954 	44.5726 	1039	453010726
066	115.8970 	44.5670 	1045	453009605
067	115.8962 	44.5616 	1042	453010447
068	115.8955 	44.5563 	1037	453010698
069	115.8948 	44.5510 	1033	453009919
070	115.8940 	44.5454 	1025	453010336
071	115.8931 	44.5405 	1021	453009550
072	115.8923 	44.5350 	1013	453010923
073	115.8914 	44.5291 	1008	453010456
074	115.8906 	44.5240 	1006	453010662
075	115.8915 	44.5184 	996	453009513
076	115.8949 	44.5132 	991	453009419
077	115.8982 	44.5080 	984	453010448
078	115.9013 	44.5034 	980	453010744
079	115.9049 	44.4978 	978	453010743
080	115.9086 	44.4923 	980	453010440
081	115.9122 	44.4867 	981	453009451
082	115.9153 	44.4818 	982	453009390
083	115.9186 	44.4763 	983	453009642
084	115.9207 	44.4708 	975	453009337
085	115.9208 	44.4650 	961	453009653
086	115.9209 	44.4604 	959	453009473
087	115.9210 	44.4550 	957	453009386
088	115.9211 	44.4499 	942	453010914
089	115.9213 	44.4433 	941	453010235
090	115.9214 	44.4385 	943	453009244
091	115.9223 	44.4332 	948	453010284
092	115.9246 	44.4282 	948	453009464
093	115.9270 	44.4226 	949	453009813
094	115.9292 	44.4171 	962	453010652
095	115.9296 	44.4120 	948	453010554
096	115.9297 	44.4067 	940	453010806
097	115.9297 	44.4014 	943	453010367
098	115.9299 	44.3961 	938	453009690
099	115.9300 	44.3906 	941	453009738
100	115.9302 	44.3859 	935	453010265
101	115.9303 	44.3792 	929	453010564
102	115.9307 	44.3743 	933	453010529
